Invoice ID,Gender,Category,Product Name,Quantity,Price,Total Amount,Order Date
INV1000,Male,Footwear,Shoes,3,118.59,355.77,2023-02-06
INV1001,Male,Fragrance,Jacket,3,134.1,402.3,2023-01-15
INV1002,Male,Clothing,Perfume,2,51.77,103.54,2023-05-28
INV1003,Male,Clothing,Trousers,3,146.78,440.34,2023-03-01
INV1004,Female,Footwear,Sunglasses,2,110.75,221.5,2023-12-25
INV1005,Female,Clothing,Shoes,2,11.26,22.52,2023-06-02
INV1006,Female,Footwear,Sunglasses,3,120.13,360.39,2023-05-14
INV1007,Male,Clothing,Trousers,4,12.48,49.92,2023-05-10
INV1008,Male,Clothing,Perfume,1,77.38,77.38,2023-01-24
INV1009,Female,Fragrance,Jacket,4,24.21,96.84,2023-10-13
INV1010,Female,Clothing,Perfume,3,128.48,385.44,2023-06-21
INV1011,Female,Accessories,Bag,2,39.68,79.36,2023-04-28
INV1012,Male,Accessories,Shoes,5,112.14,560.7,2023-10-07
INV1013,Female,Accessories,Perfume,1,113.56,113.56,2023-03-04
INV1014,Female,Clothing,Shoes,3,149.2,447.6,2023-10-13
INV1015,Female,Fragrance,Watch,1,75.94,75.94,2023-08-09
INV1016,Male,Footwear,Shirt,4,63.03,252.12,2023-06-10
INV1017,Female,Fragrance,Shirt,5,78.7,393.5,2023-02-02
INV1018,Male,Footwear,Trousers,2,141.81,283.62,2023-11-03
INV1019,Male,Fragrance,Watch,1,140.8,140.8,2023-05-19
INV1020,Male,Accessories,Trousers,5,54.22,271.1,2023-07-20
INV1021,Female,Accessories,Jacket,5,10.55,52.75,2023-03-15
INV1022,Male,Fragrance,Shirt,5,24.25,121.25,2023-01-09
INV1023,Male,Clothing,Trousers,5,40.6,203.0,2023-08-19
INV1024,Male,Footwear,Shoes,4,54.51,218.04,2023-08-21
INV1025,Female,Fragrance,Trousers,1,113.17,113.17,2023-09-23
INV1026,Female,Fragrance,Shirt,4,62.48,249.92,2023-02-16
INV1027,Male,Footwear,Sunglasses,3,133.52,400.56,2023-02-25
INV1028,Female,Fragrance,Trousers,3,66.32,198.96,2023-05-29
INV1029,Male,Fragrance,Bag,1,45.36,45.36,2023-12-15
INV1030,Male,Footwear,Jacket,4,46.71,186.84,2023-06-22
INV1031,Female,Footwear,Trousers,2,80.32,160.64,2023-02-19
INV1032,Female,Clothing,Perfume,5,49.78,248.9,2023-08-20
INV1033,Male,Accessories,Trousers,4,109.31,437.24,2023-11-17
INV1034,Female,Accessories,Trousers,1,100.47,100.47,2023-11-29
INV1035,Male,Fragrance,Trousers,3,31.14,93.42,2023-05-29
INV1036,Male,Clothing,Sunglasses,5,58.12,290.6,2023-06-01
INV1037,Male,Footwear,Shirt,5,81.71,408.55,2023-06-07
INV1038,Male,Accessories,Trousers,1,76.46,76.46,2023-09-10
INV1039,Male,Fragrance,Shoes,2,59.32,118.64,2023-01-15
INV1040,Female,Fragrance,Bag,3,104.74,314.22,2023-08-08
INV1041,Female,Fragrance,Sunglasses,3,43.04,129.12,2023-03-02
INV1042,Male,Accessories,Sunglasses,3,40.17,120.51,2023-05-26
INV1043,Female,Footwear,Trousers,4,12.94,51.76,2023-11-15
INV1044,Female,Fragrance,Jacket,2,109.21,218.42,2023-02-02
INV1045,Male,Accessories,Shirt,2,22.13,44.26,2023-10-03
INV1046,Female,Fragrance,Trousers,3,100.55,301.65,2023-08-14
INV1047,Male,Accessories,Perfume,2,24.76,49.52,2023-09-18
INV1048,Female,Fragrance,Jacket,1,93.69,93.69,2023-10-27
INV1049,Female,Clothing,Shoes,1,106.76,106.76,2023-12-16
