InvoiceDate,Gender,Product,Quantity,Sales
2021-07-28,Male,Laptop,4,240000
2019-07-01,Male,Smartphone,1,25000
2020-12-15,Male,Tablet,5,150000
2019-07-01,Female,Mouse,1,1000
2021-12-10,Female,Laptop,1,60000
2019-09-14,Female,Mouse,1,1000
2019-08-23,Female,Laptop,4,240000
2018-04-28,Female,Smartphone,3,75000
2018-06-25,Male,Mouse,1,1000
2021-12-15,Male,Keyboard,3,4500
2018-07-29,Male,Monitor,2,16000
2018-09-04,Female,Smartphone,5,125000
2020-03-01,Female,Smartphone,5,125000
2018-06-23,Female,Mouse,5,5000
2019-06-18,Female,Keyboard,1,1500
2019-03-09,Male,Smartphone,5,125000
2020-03-06,Male,Monitor,1,8000
2021-12-25,Female,Mouse,2,2000
2021-11-26,Male,Mouse,1,1000
2019-08-29,Female,Monitor,2,16000
2019-11-07,Male,Monitor,3,24000
2021-05-12,Female,Smartphone,3,75000
2019-03-28,Female,Smartphone,1,25000
2021-08-07,Female,Mouse,4,4000
2020-09-12,Male,Keyboard,1,1500
2021-01-18,Female,Laptop,4,240000
2018-09-24,Male,Tablet,2,60000
2019-08-04,Female,Laptop,5,300000
2018-01-24,Female,Headphones,2,4000
2021-06-10,Female,Mouse,2,2000
2019-10-04,Male,Smartphone,1,25000
2020-02-24,Female,Mouse,4,4000
2019-12-19,Male,Headphones,5,10000
2020-04-01,Male,Laptop,1,60000
2019-08-07,Female,Monitor,2,16000
2021-07-04,Female,Tablet,5,150000
2019-06-21,Female,Monitor,1,8000
2020-05-15,Female,Mouse,3,3000
2021-11-15,Female,Headphones,1,2000
2018-05-12,Male,Smartphone,4,100000
2020-06-22,Female,Smartphone,3,75000
2020-06-10,Female,Tablet,5,150000
2021-01-27,Female,Tablet,2,60000
2020-04-05,Female,Keyboard,4,6000
2018-01-15,Female,Headphones,3,6000
2019-08-15,Male,Headphones,3,6000
2019-10-20,Female,Keyboard,1,1500
2021-12-04,Female,Mouse,2,2000
2021-02-19,Female,Headphones,4,8000
2021-10-24,Female,Mouse,2,2000
2020-05-23,Female,Laptop,2,120000
2020-11-11,Female,Tablet,4,120000
2019-09-14,Female,Tablet,2,60000
2020-10-04,Male,Smartphone,4,100000
2019-06-06,Female,Smartphone,3,75000
2019-04-23,Female,Laptop,3,180000
2018-04-10,Female,Mouse,5,5000
2019-11-09,Male,Mouse,2,2000
2020-08-25,Male,Tablet,2,60000
2019-04-17,Male,Mouse,2,2000
2021-12-06,Male,Smartphone,3,75000
2020-09-14,Male,Headphones,3,6000
2020-11-02,Female,Keyboard,3,4500
2021-09-21,Male,Headphones,5,10000
2019-02-13,Female,Tablet,3,90000
2020-04-16,Female,Smartphone,4,100000
2020-03-23,Female,Laptop,2,120000
2021-11-16,Female,Mouse,5,5000
2020-02-17,Female,Laptop,4,240000
2019-08-04,Female,Tablet,1,30000
2020-10-14,Male,Headphones,3,6000
2018-04-07,Male,Tablet,4,120000
2021-10-13,Female,Laptop,2,120000
2018-01-31,Male,Headphones,1,2000
2021-06-17,Male,Headphones,1,2000
2019-09-14,Female,Smartphone,4,100000
2019-02-25,Female,Headphones,5,10000
2021-09-27,Female,Smartphone,3,75000
2021-12-20,Male,Mouse,1,1000
2019-01-06,Male,Mouse,4,4000
2018-09-05,Female,Tablet,5,150000
2020-02-01,Male,Tablet,2,60000
2019-10-14,Male,Smartphone,5,125000
2021-09-21,Female,Headphones,4,8000
2019-02-06,Male,Monitor,3,24000
2018-02-20,Female,Tablet,4,120000
2019-04-24,Female,Monitor,4,32000
2021-11-26,Male,Laptop,5,300000
2020-06-06,Female,Laptop,2,120000
2021-03-31,Male,Tablet,2,60000
2021-05-22,Male,Smartphone,1,25000
2019-01-21,Female,Headphones,4,8000
2019-08-26,Female,Keyboard,1,1500
2019-07-27,Male,Mouse,3,3000
2021-10-13,Male,Keyboard,3,4500
2020-04-11,Male,Mouse,2,2000
2021-06-09,Male,Monitor,4,32000
2019-02-15,Female,Mouse,2,2000
2018-12-07,Male,Headphones,2,4000
2021-06-10,Female,Tablet,2,60000
2020-04-23,Male,Laptop,2,120000
2020-09-02,Female,Smartphone,1,25000
2021-03-05,Male,Laptop,4,240000
2018-04-18,Female,Tablet,3,90000
2018-03-04,Female,Keyboard,5,7500
2020-10-23,Male,Laptop,2,120000
2018-07-10,Female,Headphones,2,4000
2019-05-18,Female,Mouse,5,5000
2019-12-02,Male,Smartphone,4,100000
2020-02-24,Male,Mouse,2,2000
2020-09-19,Male,Tablet,1,30000
2020-05-09,Female,Keyboard,3,4500
2018-09-10,Female,Headphones,2,4000
2018-02-08,Male,Monitor,5,40000
2018-10-18,Female,Laptop,2,120000
2018-11-19,Male,Headphones,2,4000
2021-05-10,Male,Tablet,5,150000
2019-03-12,Female,Monitor,2,16000
2019-06-23,Female,Monitor,5,40000
2018-10-29,Female,Laptop,5,300000
2020-11-28,Male,Laptop,4,240000
2020-01-19,Female,Keyboard,5,7500
2021-01-03,Female,Laptop,2,120000
2021-07-19,Male,Mouse,3,3000
2019-06-26,Male,Tablet,3,90000
2019-09-04,Female,Tablet,1,30000
2021-06-27,Female,Monitor,4,32000
2020-11-03,Male,Laptop,1,60000
2020-01-08,Male,Laptop,2,120000
2020-07-30,Female,Smartphone,2,50000
2018-08-21,Female,Keyboard,5,7500
2021-06-20,Male,Mouse,2,2000
2020-08-17,Male,Tablet,2,60000
2018-06-25,Male,Headphones,3,6000
2020-10-29,Female,Monitor,5,40000
2021-02-10,Female,Tablet,5,150000
2019-07-29,Female,Tablet,2,60000
2019-04-15,Female,Tablet,4,120000
2019-01-16,Male,Headphones,3,6000
2018-10-09,Male,Keyboard,4,6000
2019-09-23,Male,Keyboard,1,1500
2018-03-21,Male,Smartphone,5,125000
2021-05-15,Male,Tablet,4,120000
2019-05-25,Male,Mouse,1,1000
2018-01-04,Male,Laptop,5,300000
2021-02-20,Female,Keyboard,5,7500
2018-02-26,Male,Monitor,5,40000
2019-05-23,Male,Headphones,4,8000
2019-07-14,Female,Mouse,3,3000
2018-07-22,Male,Monitor,5,40000
2018-05-04,Female,Monitor,5,40000
2019-11-20,Female,Monitor,5,40000
2020-11-28,Male,Laptop,3,180000
2018-11-15,Male,Headphones,1,2000
2021-07-05,Female,Laptop,5,300000
2019-01-16,Male,Monitor,2,16000
2021-10-27,Female,Monitor,1,8000
2018-10-02,Male,Tablet,5,150000
2021-05-18,Male,Keyboard,2,3000
2019-02-24,Male,Headphones,5,10000
2019-03-06,Female,Monitor,4,32000
2020-12-19,Female,Monitor,4,32000
2020-08-09,Male,Mouse,1,1000
2019-04-18,Female,Monitor,1,8000
2019-07-15,Male,Mouse,1,1000
2020-05-20,Female,Smartphone,3,75000
2019-04-24,Male,Monitor,3,24000
2020-12-22,Male,Laptop,5,300000
2020-05-30,Female,Keyboard,2,3000
2020-08-24,Male,Keyboard,3,4500
2018-10-11,Female,Headphones,4,8000
2020-11-02,Female,Laptop,2,120000
2019-09-25,Male,Smartphone,4,100000
2019-04-02,Male,Keyboard,1,1500
2020-09-01,Male,Monitor,1,8000
2018-02-18,Female,Keyboard,5,7500
2019-11-12,Female,Headphones,2,4000
2021-06-29,Male,Tablet,5,150000
2019-05-13,Male,Keyboard,1,1500
2018-08-01,Female,Laptop,3,180000
2021-04-05,Female,Monitor,1,8000
2021-11-18,Female,Monitor,1,8000
2020-10-17,Female,Smartphone,5,125000
2021-06-25,Female,Monitor,2,16000
2019-10-05,Male,Smartphone,1,25000
2018-09-25,Male,Laptop,1,60000
2021-07-09,Female,Monitor,4,32000
2018-10-15,Male,Monitor,4,32000
2020-12-01,Male,Keyboard,5,7500
2021-11-08,Female,Smartphone,3,75000
2020-12-09,Male,Tablet,2,60000
2018-02-02,Male,Monitor,1,8000
2019-01-25,Female,Monitor,1,8000
2018-01-16,Female,Mouse,4,4000
2019-05-31,Female,Tablet,2,60000
2021-04-14,Male,Headphones,5,10000
2021-08-03,Female,Mouse,3,3000
2018-07-14,Male,Tablet,5,150000
2021-12-26,Male,Laptop,4,240000
2020-03-13,Male,Monitor,5,40000
2021-07-30,Female,Keyboard,2,3000
2021-03-23,Female,Smartphone,1,25000
2018-03-20,Female,Tablet,5,150000
2020-12-19,Male,Keyboard,1,1500
2018-04-02,Female,Headphones,5,10000
2021-06-24,Male,Monitor,3,24000
2021-03-20,Female,Headphones,5,10000
2021-09-25,Female,Mouse,2,2000
2019-11-29,Male,Monitor,5,40000
2018-11-27,Female,Mouse,2,2000
2020-02-05,Female,Monitor,2,16000
2018-07-08,Female,Laptop,5,300000
2021-12-20,Female,Keyboard,3,4500
2018-03-10,Male,Laptop,1,60000
2018-11-03,Female,Monitor,4,32000
2020-05-16,Female,Tablet,3,90000
2018-10-26,Female,Smartphone,2,50000
2019-12-22,Female,Mouse,4,4000
2019-07-06,Male,Monitor,5,40000
2021-03-19,Male,Keyboard,5,7500
2021-12-02,Male,Tablet,2,60000
2019-08-31,Male,Laptop,1,60000
2020-02-16,Male,Headphones,5,10000
2020-09-04,Female,Laptop,4,240000
2019-12-14,Male,Monitor,2,16000
2019-05-26,Female,Tablet,1,30000
2019-04-07,Male,Mouse,5,5000
2019-03-31,Female,Headphones,1,2000
2020-11-13,Male,Monitor,4,32000
2018-05-29,Male,Smartphone,2,50000
2019-05-12,Male,Smartphone,4,100000
2021-04-04,Male,Laptop,2,120000
2021-08-31,Female,Laptop,5,300000
2021-04-21,Female,Headphones,4,8000
2020-11-21,Female,Keyboard,1,1500
2021-03-30,Male,Monitor,5,40000
2019-02-23,Male,Smartphone,3,75000
2019-07-27,Female,Tablet,3,90000
2021-07-19,Male,Mouse,3,3000
2019-03-07,Female,Mouse,2,2000
2020-12-27,Male,Laptop,3,180000
2018-01-12,Male,Tablet,1,30000
2018-11-09,Male,Monitor,3,24000
2018-11-27,Male,Tablet,5,150000
2019-10-04,Female,Headphones,4,8000
2019-10-11,Male,Smartphone,4,100000
2021-01-12,Female,Tablet,4,120000
2019-02-06,Female,Monitor,4,32000
2019-10-17,Female,Mouse,1,1000
2018-08-07,Male,Laptop,2,120000
2021-02-23,Female,Tablet,1,30000
2019-04-03,Male,Mouse,4,4000
2019-11-15,Female,Smartphone,4,100000
2021-04-04,Male,Laptop,2,120000
2019-07-04,Male,Tablet,5,150000
2021-02-19,Female,Laptop,4,240000
2021-02-13,Female,Monitor,1,8000
2020-03-23,Female,Headphones,1,2000
2021-04-29,Female,Keyboard,4,6000
2020-05-15,Male,Smartphone,1,25000
2018-03-11,Female,Keyboard,4,6000
2020-06-24,Female,Laptop,5,300000
2019-05-14,Female,Mouse,3,3000
2021-09-03,Female,Mouse,1,1000
2021-01-07,Male,Smartphone,2,50000
2019-03-15,Male,Smartphone,3,75000
2019-11-11,Female,Laptop,4,240000
2019-08-30,Male,Tablet,3,90000
2019-01-02,Female,Monitor,2,16000
2019-07-21,Male,Monitor,3,24000
2021-11-19,Female,Tablet,2,60000
2021-09-10,Female,Monitor,5,40000
2018-12-10,Female,Tablet,2,60000
2018-03-16,Female,Mouse,3,3000
2018-02-19,Male,Keyboard,3,4500
2018-01-03,Female,Laptop,3,180000
2021-12-08,Male,Mouse,5,5000
2018-02-03,Male,Mouse,3,3000
2021-08-23,Female,Mouse,1,1000
2020-04-19,Male,Smartphone,4,100000
2019-05-09,Male,Headphones,2,4000
2018-01-28,Female,Monitor,1,8000
2020-09-22,Female,Headphones,3,6000
2019-04-05,Male,Headphones,5,10000
2018-10-11,Male,Tablet,3,90000
2018-07-18,Male,Smartphone,5,125000
2021-01-11,Male,Mouse,3,3000
2019-04-19,Male,Smartphone,1,25000
2018-11-28,Male,Monitor,2,16000
2019-07-29,Female,Mouse,3,3000
2021-11-03,Female,Smartphone,4,100000
2019-09-21,Female,Smartphone,2,50000
2018-05-26,Female,Headphones,4,8000
2018-08-14,Female,Tablet,5,150000
2021-05-16,Female,Tablet,4,120000
2021-08-19,Male,Headphones,5,10000
2020-06-18,Male,Laptop,3,180000
2021-06-13,Male,Mouse,3,3000
2019-07-22,Female,Laptop,1,60000
2018-03-12,Male,Headphones,2,4000
2020-01-08,Male,Smartphone,1,25000
2020-08-15,Male,Monitor,2,16000
2020-05-15,Female,Mouse,2,2000
2018-05-26,Female,Keyboard,4,6000
2019-12-06,Male,Monitor,3,24000
2020-09-27,Male,Mouse,4,4000
2019-08-08,Female,Monitor,3,24000
2019-11-03,Male,Tablet,4,120000
2020-11-22,Male,Mouse,2,2000
2020-08-13,Female,Laptop,3,180000
2019-02-07,Female,Mouse,1,1000
2020-08-25,Male,Tablet,5,150000
2020-05-25,Female,Keyboard,2,3000
2020-09-06,Male,Monitor,4,32000
2018-06-27,Female,Tablet,3,90000
2018-03-21,Male,Monitor,1,8000
2021-05-17,Male,Smartphone,4,100000
2018-11-06,Male,Smartphone,3,75000
2020-03-31,Female,Smartphone,4,100000
2020-05-30,Female,Monitor,5,40000
2020-03-14,Male,Laptop,5,300000
2020-12-21,Female,Headphones,4,8000
2020-06-21,Male,Mouse,3,3000
2019-09-08,Male,Headphones,4,8000
2019-08-29,Male,Laptop,3,180000
2019-06-24,Male,Smartphone,4,100000
2018-10-27,Female,Monitor,2,16000
2019-05-02,Male,Tablet,5,150000
2018-02-10,Male,Monitor,2,16000
2021-09-03,Female,Keyboard,4,6000
2020-07-05,Male,Monitor,1,8000
2019-09-22,Female,Mouse,5,5000
2018-08-26,Male,Laptop,3,180000
2019-07-14,Male,Monitor,4,32000
2019-06-19,Male,Keyboard,4,6000
2020-07-28,Male,Mouse,1,1000
2020-11-07,Male,Smartphone,4,100000
2019-05-30,Male,Mouse,1,1000
2018-06-26,Female,Smartphone,2,50000
2021-07-07,Female,Laptop,3,180000
2018-01-20,Male,Mouse,4,4000
2018-02-13,Female,Smartphone,4,100000
2020-10-22,Female,Headphones,3,6000
2019-12-29,Female,Mouse,3,3000
2021-03-15,Female,Smartphone,3,75000
2021-02-03,Male,Smartphone,1,25000
2020-03-01,Male,Monitor,4,32000
2018-11-05,Male,Keyboard,5,7500
2020-07-08,Female,Mouse,3,3000
2018-09-05,Male,Monitor,1,8000
2021-11-06,Female,Headphones,2,4000
2020-12-09,Male,Keyboard,5,7500
2020-12-04,Male,Keyboard,2,3000
2020-04-20,Female,Laptop,5,300000
2019-01-11,Male,Mouse,5,5000
2019-10-23,Female,Monitor,3,24000
2020-11-03,Female,Tablet,3,90000
2019-07-12,Female,Tablet,1,30000
2020-06-01,Female,Laptop,4,240000
2020-10-10,Male,Mouse,2,2000
2019-08-17,Male,Tablet,2,60000
2018-06-10,Male,Keyboard,3,4500
2021-04-01,Female,Mouse,5,5000
2020-07-07,Female,Headphones,1,2000
2021-02-01,Male,Monitor,5,40000
2020-03-12,Female,Keyboard,5,7500
2021-04-09,Male,Keyboard,2,3000
2018-08-03,Male,Laptop,5,300000
2018-11-22,Male,Keyboard,3,4500
2020-07-25,Male,Smartphone,1,25000
2018-05-21,Female,Keyboard,4,6000
2018-02-08,Male,Mouse,5,5000
2018-07-04,Female,Keyboard,5,7500
2018-12-14,Female,Smartphone,2,50000
2018-01-01,Female,Smartphone,3,75000
2018-11-15,Female,Smartphone,5,125000
2019-06-02,Male,Tablet,5,150000
2020-08-13,Female,Monitor,2,16000
2018-06-09,Male,Tablet,3,90000
2020-09-09,Female,Monitor,3,24000
2021-05-02,Female,Keyboard,4,6000
2020-12-16,Male,Monitor,4,32000
2021-05-05,Female,Smartphone,5,125000
2020-01-11,Male,Tablet,2,60000
2020-03-17,Male,Headphones,3,6000
2021-01-29,Male,Smartphone,1,25000
2021-12-06,Male,Smartphone,2,50000
2021-03-14,Female,Keyboard,5,7500
2018-11-17,Male,Mouse,5,5000
2020-12-16,Female,Smartphone,5,125000
2018-04-28,Male,Laptop,1,60000
2020-05-25,Male,Headphones,3,6000
2020-06-12,Male,Mouse,4,4000
2020-10-13,Female,Laptop,3,180000
2021-03-06,Male,Keyboard,4,6000
2019-06-17,Female,Tablet,1,30000
2020-02-13,Female,Smartphone,5,125000
2020-08-31,Female,Mouse,1,1000
2019-06-16,Female,Mouse,3,3000
2021-03-17,Male,Keyboard,2,3000
2019-10-13,Female,Tablet,1,30000
2019-06-07,Male,Monitor,4,32000
2021-09-30,Male,Monitor,2,16000
2018-06-25,Female,Laptop,3,180000
2021-02-03,Female,Tablet,4,120000
2021-08-11,Female,Laptop,1,60000
2019-12-08,Female,Laptop,2,120000
2019-07-29,Male,Keyboard,4,6000
2019-09-30,Female,Tablet,3,90000
2020-02-26,Female,Laptop,2,120000
2018-10-05,Male,Mouse,2,2000
2019-10-25,Female,Tablet,2,60000
2019-01-05,Male,Mouse,5,5000
2018-02-14,Female,Smartphone,4,100000
2018-11-17,Female,Tablet,2,60000
2019-06-17,Female,Tablet,4,120000
2019-12-02,Female,Monitor,5,40000
2020-02-13,Female,Smartphone,5,125000
2018-06-04,Male,Headphones,1,2000
2020-09-19,Male,Monitor,5,40000
2018-03-25,Male,Keyboard,1,1500
2019-06-04,Male,Smartphone,1,25000
2021-07-28,Female,Headphones,2,4000
2020-12-05,Male,Tablet,3,90000
2018-03-28,Female,Tablet,2,60000
2019-07-25,Female,Keyboard,3,4500
2021-09-22,Female,Tablet,5,150000
2020-11-12,Female,Tablet,4,120000
2020-05-19,Male,Headphones,2,4000
2018-05-06,Male,Smartphone,2,50000
2018-04-27,Female,Monitor,4,32000
2020-08-11,Male,Smartphone,1,25000
2021-05-16,Female,Keyboard,1,1500
2018-12-25,Female,Keyboard,5,7500
2018-05-09,Female,Mouse,2,2000
